,SO2,CO,NO,NO2,PM25,PM10,NOx,O3,TOL,BEN,EBE,TCH,CH4,NMHC,measures
04 - Pza. de España,99.5,99.4,99.5,99.5,,,99.5,,,,,,,,5
08 - Escuelas Aguirre,98.6,98.7,98.6,98.6,97.6,98.2,98.6,98.6,97.2,97.6,97.6,79.7,79.7,79.7,14
11 - Avda. Ramón y Cajal,,,99.7,99.7,,,99.7,,98.3,98.6,98.5,,,,6
16 - Arturo Soria,,99.5,99.7,99.7,,,99.7,99.5,,,,,,,5
17 - Villaverde,96.9,,97.1,97.0,,,97.0,96.5,,,,,,,5
18 - Farolillo,98.8,98.9,98.7,98.7,,97.1,98.7,98.7,95.9,96.1,96.1,,,,10
24 - Casa de Campo,98.6,98.7,98.8,98.8,93.2,98.0,98.8,98.6,95.3,95.3,95.4,97.5,97.5,97.5,14
27 - Barajas Pueblo,,,99.8,99.8,,,99.8,99.4,,,,41.8,41.8,41.8,7
35 - Pza. del Carmen,98.3,98.4,98.6,98.6,,,98.6,98.2,,,,,,,6
36 - Moratalaz,99.0,99.1,99.1,99.1,,98.9,99.1,,,,,,,,6
38 - Cuatro Caminos,99.3,,99.3,99.3,98.3,99.0,99.3,,97.1,97.4,96.5,,,,9
39 - Barrio del Pilar,,99.4,99.4,99.4,,,99.4,99.5,,,,,,,5
40 - Vallecas,99.4,,99.4,99.4,,98.9,99.4,,,,,,,,5
47 - Mendez Alvaro,,,99.5,99.5,98.3,98.7,99.5,,,,,,,,5
48 - Castellana,,,95.4,95.4,93.6,94.2,95.4,,,,,,,,5
49 - Parque del Retiro,,,99.6,99.6,,,99.6,99.6,,,,,,,4
50 - Plaza Castilla,,,97.3,97.3,95.4,96.1,97.3,,,,,,,,5
54 - Ensanche de Vallecas,,,99.6,99.6,,,99.6,99.4,,,,,,,4
55 - Urb. Embajada,,,99.1,99.1,,98.9,99.1,,91.4,92.0,91.9,97.3,97.3,97.3,10
56 - Pza. Elíptica,,98.5,98.4,98.4,4.1,4.1,98.4,98.3,,,,,,,7
57 - Sanchinarro,99.1,99.1,99.2,99.2,,99.0,99.2,,,,,,,,6
58 - El Pardo,,,99.5,99.5,,,99.5,99.1,,,,,,,4
59 - Juan Carlos I,,,98.9,98.9,,,98.9,98.9,,,,,,,4
60 - Tres Olivos,,,98.5,98.5,,98.5,98.5,98.4,,,,,,,5
present in,10,10,24,24,7,13,24,14,6,6,6,4,4,4,0
