pollutant,count,min sensors,median sensors,max sensors,mean,std,min,25%,50%,75%,max
PM25,497512,1,6,7,10.1,6.41,0.0,5.0,9.0,14.0,32.0
PM10,1012481,1,12,13,18.62,12.95,0.0,9.0,16.0,25.0,66.0
O3,1187574,10,14,14,46.83,31.19,0.6,18.96,46.27,69.65,123.7
NO,2037902,17,24,24,17.12,28.41,0.0,2.0,6.0,18.0,178.0
NO2,2037535,17,24,24,36.71,25.73,1.0,16.0,31.0,52.0,119.0
NOx,2037818,17,24,24,63.23,65.01,2.0,20.0,40.0,81.0,380.0
SO2,847376,6,10,10,6.25,3.83,0.0,3.0,5.0,8.0,19.0
CO,846442,6,10,10,0.33,0.17,0.1,0.2,0.3,0.4,1.0
TOL,493950,2,6,6,2.41,2.39,0.1,0.7,1.5,3.5,12.5
BEN,495486,2,6,6,0.59,0.61,0.0,0.2,0.4,0.7,3.2
EBE,494176,2,6,6,0.55,0.58,0.0,0.1,0.3,0.8,3.4
