Sensor,lng,lat
4,"-3,7122567","40,4238823"
8,"-3,6823158","40,4215533"
11,"-3,6773491","40,4514734"
16,"-3,6392422","40,4400457"
17,"-3,7133167","40,347147"
18,"-3,7318356","40,3947825"
24,"-3,7473445","40,4193577"
27,"-3,5800258","40,4769179"
35,"-3,7031662","40,4192091"
36,"-3,6453104","40,4079517"
38,"-3,7071303","40,4455439"
39,"-3,7115364","40,4782322"
40,"-3,6515286","40,3881478"
47,"-3,6868138","40,3980991"
48,"-3,6903729","40,4398904"
49,"-3,6824999","40,4144444"
50,"-3,6887449","40,4655841"
54,"-3,6121394","40,3730118"
55,"-3,5805649","40,4623628"
56,"-3,7187679","40,3850336"
57,"-3,6605173","40,4942012"
58,"-3,7746101","40,5180701"
59,"-3,6163407","40,4607255"
60,"-3,6897308","40,5005477"
